측정ID,시각,권역,LCZ,name,위도,경도,표고_m,Ta,RH,v,Tmrt,PET,Ts,태양고도,sun,SVF,TVF,BVF,사진,width_m,hw_ratio,H_m,H_default,geo_SVF,geo_GVI,geo_BVI
20260825_용호제1동_08,2026-08-25 12:30:00,용호제1동,4,Yongho 1,35.1229,129.1101,5.0,36.0,51.3,0.5,63.91,52.29,52.67,65.6,1,0.5642,0.0018,0.4031,209,8.2,0.66,5.41,0,0.4548,0.0068,0.5192
20260825_용호제1동_09,2026-08-25 12:27:00,용호제1동,4,Yongho 1,35.1229,129.1103,5.0,36.9,46.0,0.3,56.12,49.42,54.99,65.6,1,0.6996,0.0838,0.2075,208,15.2,0.24,3.65,0,0.5858,0.0078,0.5073
20260825_용호제1동_10,2026-08-25 12:24:00,용호제1동,4,Yongho 1,35.1228,129.1107,5.0,36.0,48.1,0.0,46.09,44.86,49.21,65.6,1,0.5618,0.0267,0.4016,207,7.5,1.34,10.05,0,0.7936,0.0091,0.3747
20260825_용호제1동_11,2026-08-25 12:18:00,용호제1동,4,Yongho 1,35.1229,129.1114,5.0,35.0,50.0,0.4,52.22,45.56,49.6,65.6,1,0.5387,0.0647,0.3799,206,8.2,1.33,10.91,0,0.5741,0.0087,0.5447
20260825_용호제1동_12,2026-08-25 12:16:00,용호제1동,4,Yongho 1,35.1228,129.1117,5.0,34.2,52.2,0.4,54.97,46.54,49.34,65.6,1,0.4639,0.0,0.4232,205,6.9,3.81,26.29,0,0.7484,0.0087,0.4868
20260825_용호제1동_13,2026-08-25 12:12:00,용호제1동,4,Yongho 1,35.1228,129.1122,5.0,35.0,48.2,1.0,74.44,53.83,52.75,65.5,1,0.3611,0.0,0.6276,203,6.5,1.53,9.95,0,0.7586,0.0073,0.4368
20260825_용호제1동_14,2026-08-25 12:09:00,용호제1동,4,Yongho 1,35.123,129.1116,5.0,36.0,47.3,0.0,50.44,47.32,54.88,65.4,1,0.4824,0.0026,0.5115,201,17.7,0.5,8.85,0,0.6302,0.0087,0.507
20260825_용호제1동_15,2026-08-25 12:06:00,용호제1동,4,Yongho 1,35.1236,129.1112,5.0,34.1,53.0,0.0,49.56,46.02,55.9,65.2,1,0.7104,0.0,0.2777,200,12.5,0.41,5.12,0,0.7086,0.0091,0.4532
20260823_명장제2동_01,2026-08-23 12:27:00,명장동,5,Myeongjang,35.2111,129.0833,12.0,33.3,55.5,0.0,39.72,40.03,50.78,66.2,1,0.7581,0.0024,0.2051,199,33.2,0.12,3.98,0,0.9055,0.0106,0.3684
20260823_명장제3동_01,2026-08-23 12:17:00,명장동,5,Myeongjang,35.214,129.0854,37.0,32.9,57.2,0.4,38.34,37.58,38.77,66.1,0,0.3071,0.3026,0.2603,198,,,,,0.5725,0.3011,0.0353
20260823_명장제4동_01,2026-08-23 12:14:00,명장동,5,Myeongjang,35.2147,129.0854,29.0,33.2,54.8,1.8,52.13,40.42,44.57,66.1,0,0.408,0.3106,0.2699,197,21.0,1.72,36.12,0,0.5325,0.0953,0.347
20260823_명장제5동_01,2026-08-23 12:11:00,명장동,5,Myeongjang,35.215,129.0858,16.0,34.4,53.0,0.7,43.2,39.94,45.52,66.0,0,0.2467,0.1526,0.4793,196,18.5,0.7,12.95,0,0.7782,0.0564,0.3611
20260823_명장제6동_01,2026-08-23 12:07:00,명장동,5,Myeongjang,35.2153,129.0854,16.0,34.2,53.3,0.0,38.85,40.0,45.21,65.8,0,0.6033,0.0154,0.3507,195,10.6,0.96,10.18,0,0.7336,0.0268,0.4871
20260823_명장제7동_01,2026-08-23 12:04:00,명장동,5,Myeongjang,35.2157,129.0844,13.0,34.5,52.3,1.1,46.4,40.51,44.81,65.7,0,0.4534,0.0653,0.3569,192,16.9,0.59,9.97,0,0.6442,0.0212,0.4552
20260823_명장제8동_01,2026-08-23 12:00:00,명장동,5,Myeongjang,35.2161,129.0857,13.0,34.4,45.5,0.4,57.1,47.09,48.33,65.5,1,0.5681,0.0036,0.4131,191,15.6,0.64,9.98,0,0.6553,0.0086,0.5272
20260823_명장제9동_01,2026-08-23 11:56:00,명장동,5,Myeongjang,35.2162,129.0861,14.0,36.4,45.5,0.4,51.22,45.74,57.96,65.3,1,0.6673,0.0072,0.3039,190,33.1,0.41,13.57,0,0.9348,0.0479,0.2831
20260823_명장제10동_01,2026-08-23 11:53:00,명장동,5,Myeongjang,35.2158,129.0861,19.0,34.7,49.7,0.4,49.4,43.8,51.25,65.1,1,0.7336,0.0369,0.2131,189,7.8,1.57,12.25,0,0.5791,0.044,0.5021
20260823_명장제11동_01,2026-08-23 11:50:00,명장동,5,Myeongjang,35.2156,129.0868,20.0,36.8,44.5,0.5,62.58,51.44,53.02,64.9,1,0.6281,0.1233,0.1503,188,23.6,0.3,7.08,0,0.8673,0.0752,0.3037
20260823_명장제12동_01,2026-08-23 11:47:00,명장동,5,Myeongjang,35.2152,129.0874,20.0,36.7,46.7,0.0,54.37,49.76,54.71,64.6,1,0.666,0.0114,0.3034,187,14.9,0.78,11.62,0,0.7002,0.0557,0.45
20260823_명장제13동_01,2026-08-23 11:43:00,명장동,5,Myeongjang,35.2149,129.0882,35.0,36.9,44.4,0.5,55.64,47.86,52.39,64.3,1,0.5922,0.0042,0.3944,186,13.7,0.59,8.08,0,0.7396,0.0556,0.4379
20260823_명장제14동_01,2026-08-23 11:40:00,명장동,5,Myeongjang,35.2145,129.0899,28.0,35.2,47.1,2.2,77.35,51.32,54.83,64.0,1,0.6835,0.0193,0.209,185,,,,,0.8276,0.0778,0.1685
20260823_명장제15동_01,2026-08-23 11:34:00,명장동,5,Myeongjang,35.2139,129.0899,39.0,34.9,45.7,0.0,53.24,48.06,53.63,63.4,1,0.6635,0.1599,0.1678,184,,,,,0.7756,0.0769,0.1896
20260823_명장제16동_01,2026-08-23 11:29:00,명장동,5,Myeongjang,35.2136,129.0905,34.0,35.7,46.9,1.0,71.89,53.08,52.31,62.9,1,0.7523,0.0366,0.1952,182,41.6,0.38,15.81,0,0.8463,0.0759,0.1988
20260823_명장제17동_01,2026-08-23 11:22:00,명장동,5,Myeongjang,35.2125,129.0902,52.0,35.7,46.3,0.7,61.02,48.82,55.91,62.1,1,0.7665,0.1464,0.0749,179,,,,,0.919,0.1804,0.0666
20260823_명장제18동_01,2026-08-23 11:19:00,명장동,5,Myeongjang,35.2123,129.0897,72.0,35.0,50.4,0.0,41.91,42.0,53.48,61.8,1,0.8181,0.1104,0.0519,177,,,,,0.853,0.1302,0.136
