측정ID,사진,시간차초,SVF,TVF,BVF,OTH,GVI_pix,SVF_0914,GVI_0914,BVI_0914,볕,비고
20260826_부암제1동_02,256,81,0.6623,0.0871,0.2461,0.0044,0.0527,0.7011,0.0636,0.337,1,
20260826_부암제1동_03,255,66,0.5393,0.0106,0.3669,0.0831,0.0338,0.5709,0.0409,0.439,0,
20260826_부암제1동_04,254,78,0.8104,0.0236,0.1123,0.0537,0.0259,0.8578,0.0317,0.2086,1,
20260826_부암제1동_05,253,63,0.5472,0.0095,0.3771,0.0663,0.0062,0.5792,0.0075,0.516,0,
20260826_부암제1동_06,252,81,0.6802,0.0013,0.3088,0.0097,0.0,0.72,0.0001,0.4427,1,
20260826_부암제1동_07,251,99,0.4742,0.0,0.4761,0.0497,0.0,0.5019,0.0,0.5722,1,
20260826_부암제1동_09,249,37,0.5714,0.0517,0.3254,0.0515,0.0201,0.6048,0.0248,0.4072,1,
20260826_부암제1동_10,246,61,0.6988,0.0232,0.2216,0.0563,0.0152,0.7397,0.0185,0.3203,1,
20260826_부암제1동_11,245,70,0.5115,0.0005,0.4633,0.0248,0.0002,0.5414,0.0002,0.5402,1,
20260826_부암제1동_12,244,34,0.6082,0.0013,0.378,0.0124,0.0194,0.6438,0.0238,0.5092,1,
20260826_부암제1동_13,243,52,0.5921,0.0026,0.3635,0.0418,0.0,0.6267,0.0,0.4359,1,
20260826_부암제1동_14,242,55,0.7615,0.0043,0.1239,0.1103,0.0293,0.8061,0.0356,0.2545,1,
20260826_부암제1동_15,241,32,0.8339,0.0098,0.1267,0.0297,0.0074,0.8826,0.0092,0.2435,1,
20260826_부암제1동_16,239,43,0.7508,0.0137,0.2261,0.0094,0.014,0.7947,0.0171,0.3144,1,
