lat,lon,n_records,svf,n_buildings,street_width_m,hw_ratio,snapped_m,폭등급
35.1834,129.1033,1,0.274,21,31.2,2.24,0.0,큰길(12m+)
35.1833,129.1033,5,0.232,21,14.1,4.95,0.0,큰길(12m+)
35.1834,129.1037,3,0.386,20,20.1,1.95,0.0,큰길(12m+)
35.1818,129.1032,3,0.498,67,6.5,0.86,0.0,혼합골목(6-12m)
35.1823,129.1038,3,0.646,44,29.1,1.11,0.0,큰길(12m+)
35.2115,129.0889,3,0.999,4,,,,개방
35.2116,129.089,1,0.998,4,,,,개방
35.212,129.0891,1,0.999,3,,,,개방
35.2123,129.0896,1,0.997,4,,,,개방
35.2124,129.0902,1,0.997,3,,,,개방
35.2129,129.0902,1,0.999,5,,,,개방
35.2134,129.0903,1,0.965,5,,,,개방
35.2137,129.0904,1,0.878,8,61.0,0.16,0.0,큰길(12m+)
35.214,129.0898,1,0.884,9,,,,개방
35.2142,129.0893,1,0.898,19,,,,개방
35.2145,129.089,1,0.811,29,72.4,0.68,0.0,큰길(12m+)
35.2147,129.0884,1,0.756,39,16.5,0.51,0.0,큰길(12m+)
35.2149,129.088,1,0.609,54,10.6,0.53,2.0,혼합골목(6-12m)
35.2152,129.0874,1,0.692,78,15.0,0.37,0.0,큰길(12m+)
35.2155,129.087,1,0.957,96,24.4,0.11,0.0,큰길(12m+)
35.2157,129.0865,1,0.674,108,8.9,1.1,0.0,혼합골목(6-12m)
35.2159,129.0861,1,0.659,106,11.9,0.47,0.0,혼합골목(6-12m)
35.216,129.0854,1,0.591,93,11.1,0.88,0.0,혼합골목(6-12m)
35.2159,129.0849,1,0.847,84,19.0,0.52,0.0,큰길(12m+)
35.2158,129.0843,1,0.783,85,28.5,0.25,0.0,큰길(12m+)
35.2156,129.0848,1,0.28,85,2.2,2.6,0.0,보행골목(<6m)
35.2153,129.0853,1,0.801,89,25.1,0.34,0.0,큰길(12m+)
35.2151,129.0858,1,0.636,98,11.5,0.97,0.0,혼합골목(6-12m)
35.2148,129.0854,1,0.722,60,26.6,1.05,0.0,큰길(12m+)
35.2144,129.0854,1,0.871,32,70.0,0.06,0.0,큰길(12m+)
35.2142,129.0846,1,0.779,16,36.1,1.2,0.0,큰길(12m+)
35.2144,129.0842,1,0.708,31,48.6,0.95,0.0,큰길(12m+)
